"tweet_id","date","username","tweet"
"1469674169","Tue Apr 07 07:05:08 PDT 2009","OnlyOneFantasy","@jayhandsome lol...sup mr.handsome "
"1469674223","Tue Apr 07 07:05:07 PDT 2009","amyjcollins","is round Perry's gaff with Chelssss "
"1469674241","Tue Apr 07 07:05:08 PDT 2009","JosephTexDozier","@sexythinker @TomVMorris @MissIve Maybe it's all of y'all sexy twitterers! I can feel the heat myself. Wait...is it me then? "
"1469674329","Tue Apr 07 07:05:08 PDT 2009","SouthernGurl93","@ddlovato how fun! ah it'll get better "
"1469674372","Tue Apr 07 07:05:09 PDT 2009","OrganizedDanie","i know @britnic22 misses my news updates   here's a good one  http://tinyurl.com/c6ks96"
"1469674608","Tue Apr 07 07:05:12 PDT 2009","Caileda","@tspike7 Fantastic... I'll make another place setting. "
"1469674609","Tue Apr 07 07:05:12 PDT 2009","ratnaditya","It's raining in Hyd. This proves one thing. Even Rain Gods are on twitter!! "
"1469674699","Tue Apr 07 07:05:12 PDT 2009","saegerlein","swallowed in boredom. who's gonna save me from this? "
"1469674703","Tue Apr 07 07:05:12 PDT 2009","nigs","@Lyncinda Nope didn't understand much of that tweet ... I like cashmere though "
"1469674775","Tue Apr 07 07:05:14 PDT 2009","tinkadoic","@vedrangulin agreed "
"1469674851","Tue Apr 07 07:05:13 PDT 2009","BeckeeMcD","@AficionadoHCE He sure does i put him in the game and bought him some "
"1469674865","Tue Apr 07 07:05:13 PDT 2009","CiderpunkDotCom","@stephenfry treat yourself to a nice drop of cider now you're back "
"1469674923","Tue Apr 07 07:05:14 PDT 2009","bluefuego","52 sites to review for CASE Awards today.  I see some familiar faces in the crowd.   - bjw"
"1469674936","Tue Apr 07 07:05:14 PDT 2009","Zeblue_Prime","@Braincell08 b/c time is a relative measurement of motion, kids = more movement, therefor u have more time in the day! "
"1469674968","Tue Apr 07 07:05:15 PDT 2009","_itsthebeat","@amy_runner I hereby dedicate my first reply to you! Hope you're ok. "
"1469675024","Tue Apr 07 07:05:16 PDT 2009","jyarmis","@rotkapchen i think i'll @mkrigsman t-krigs...definitely dinosaur lineage "
